hour,day_of_week,month,location,latitude,longitude,crime_type,is_night,is_weekend,risk_score,status,datetime,is_rush_hour,crime_type_encoded,high_risk
12,1,10,GE Road,21.24732794814164,81.65349121116704,Theft,0,0,0.388,Closed,2023-10-17 12:00:00,0,5,0
5,5,11,Pandri,21.249056196925142,81.63163618057918,Assault,1,1,0.528,Reported,2023-11-25 05:00:00,0,0,1
1,0,7,Katora Talab,21.239317422762383,81.63901582694074,Robbery,1,0,0.932,Under investigation,2023-07-03 01:00:00,0,3,1
18,4,2,Tikrapara,21.25929898469275,81.62665553855503,Theft,0,0,0.426,Reported,2023-02-24 18:00:00,1,5,0
11,5,10,Ring Road No 1,21.26104265374166,81.6521368816544,Snatching,0,1,0.364,Under investigation,2023-10-07 11:00:00,0,4,0
17,4,11,Amanaka,21.27098110772887,81.6305121275202,Theft,0,0,0.587,Reported,2023-11-10 17:00:00,1,5,1
7,2,11,Pandri,21.250256510980083,81.63024605399696,Vehicle theft,0,0,0.57,Under investigation,2023-11-01 07:00:00,1,7,1
2,3,8,Amanaka,21.26827151582748,81.64476369586183,Vehicle theft,1,0,0.593,Under investigation,2023-08-24 02:00:00,0,7,1
11,0,12,Pandri,21.2480455053056,81.63431769787256,Robbery,0,0,0.329,Under investigation,2023-12-18 11:00:00,0,3,0
12,3,6,Pandri,21.2548258392526,81.62954455146198,Assault,0,0,0.213,Solved,2023-06-22 12:00:00,0,0,0
11,2,1,Ring Road No 1,21.25993916378459,81.64812697871844,Assault,0,0,0.103,Under investigation,2023-01-25 11:00:00,0,0,0
20,5,5,Amanaka,21.26792813080313,81.62785703487222,Assault,0,1,0.154,Reported,2023-05-20 20:00:00,0,0,0
21,6,3,Shankar Nagar,21.239486138296805,81.63617009393855,Burglary,1,1,0.611,Under investigation,2023-03-12 21:00:00,0,1,1
20,5,7,Devendra Nagar,21.250983500012712,81.62587384956956,Assault,0,1,0.288,Solved,2023-07-22 20:00:00,0,0,0
11,6,1,Fafadih,21.23624389639546,81.66355532780616,Burglary,0,1,0.517,Solved,2023-01-15 11:00:00,0,1,1
22,0,7,Jail Road,21.23046787049334,81.64594272132852,Assault,1,0,0.665,Under investigation,2023-07-10 22:00:00,0,0,1
15,2,4,GE Road,21.248756949377075,81.64932667862146,Burglary,0,0,0.584,Under investigation,2023-04-19 15:00:00,0,1,1
15,2,6,GE Road,21.254188235311297,81.64361516307257,Robbery,0,0,0.331,Solved,2023-06-07 15:00:00,0,3,0
22,6,1,GE Road,21.26358635558457,81.64901426305111,Theft,1,1,0.935,Reported,2023-01-22 22:00:00,0,5,1
0,1,7,GE Road,21.251767957802304,81.6539275121267,Assault,1,0,0.513,Under investigation,2023-07-18 00:00:00,0,0,1
2,1,9,Amanaka,21.27365982133204,81.6351523120776,Snatching,1,0,0.885,Under investigation,2023-09-12 02:00:00,0,4,1
20,1,12,Amanaka,21.27052051775239,81.62898340587621,Robbery,0,0,0.14,Reported,2023-12-12 20:00:00,0,3,0
1,2,10,Jail Road,21.2275741368886,81.64216884086464,Theft,1,0,0.824,Solved,2023-10-25 01:00:00,0,5,1
15,0,5,Telibandha,21.24067557135617,81.65498466300001,Vehicle theft,0,0,0.596,Closed,2023-05-01 15:00:00,0,7,1
7,6,4,Shankar Nagar,21.243017995767108,81.63655085394628,Theft,0,1,0.553,Under investigation,2023-04-23 07:00:00,1,5,1
11,0,5,Shankar Nagar,21.247726921723103,81.64784435738473,Vandalism,0,0,0.225,Under investigation,2023-05-15 11:00:00,0,6,0
9,0,4,Pandri,21.254992978291423,81.62894546531656,Assault,0,0,0.5,Solved,2023-04-17 09:00:00,1,0,0
14,3,9,Telibandha,21.24307754420751,81.66381564191202,Robbery,0,0,0.177,Under investigation,2023-09-21 14:00:00,0,3,0
17,2,7,Fafadih,21.23356060925776,81.65595305323102,Assault,0,0,0.48,Reported,2023-07-26 17:00:00,1,0,0
17,1,6,Jail Road,21.227454859801792,81.64260190400122,Theft,0,0,0.125,Under investigation,2023-06-20 17:00:00,1,5,0
21,6,10,Katora Talab,21.23028078275641,81.63517761229966,Robbery,1,1,0.94,Solved,2023-10-22 21:00:00,0,3,1
10,2,3,Katora Talab,21.23822134660126,81.64064048695926,Vehicle theft,0,0,0.286,Solved,2023-03-01 10:00:00,0,7,0
8,5,6,Shankar Nagar,21.248740779424217,81.64555833916701,Robbery,0,1,0.372,Under investigation,2023-06-10 08:00:00,1,3,0
17,0,8,Fafadih,21.22444928395794,81.66488421251219,Theft,0,0,0.418,Closed,2023-08-21 17:00:00,1,5,0
22,1,11,Mowa,21.28172205354424,81.64332377750831,Burglary,1,0,0.81,Solved,2023-11-14 22:00:00,0,1,1
16,3,5,Shankar Nagar,21.23657911149542,81.63899290436325,Vandalism,0,0,0.536,Reported,2023-05-25 16:00:00,0,6,1
3,1,11,Jail Road,21.225132708921866,81.63203996624198,Harassment,1,0,0.636,Under investigation,2023-11-21 03:00:00,0,2,1
19,6,12,GE Road,21.251188339394343,81.64570871151423,Assault,0,1,0.155,Reported,2023-12-03 19:00:00,1,0,0
11,4,7,Pandri,21.261901222321075,81.62892491224224,Vehicle theft,0,0,0.171,Under investigation,2023-07-28 11:00:00,0,7,0
17,0,10,Devendra Nagar,21.250775012623464,81.61712360390123,Assault,0,0,0.528,Under investigation,2023-10-02 17:00:00,1,0,1
20,0,5,Fafadih,21.23097964165598,81.66158759150413,Snatching,0,0,0.21,Closed,2023-05-01 20:00:00,0,4,0
13,6,8,Mowa,21.27526738420557,81.64061119726078,Assault,0,1,0.41,Under investigation,2023-08-06 13:00:00,0,0,0
5,1,1,GE Road,21.250328196375023,81.64796436805821,Vehicle theft,1,0,0.638,Closed,2023-01-24 05:00:00,0,7,1
17,6,4,Telibandha,21.246320474292144,81.65161290514172,Theft,0,1,0.314,Reported,2023-04-30 17:00:00,1,5,0
16,3,5,Devendra Nagar,21.24751804225177,81.62555861909739,Harassment,0,0,0.407,Reported,2023-05-18 16:00:00,0,2,0
3,3,7,Jail Road,21.23225050550935,81.6397684520645,Robbery,1,0,0.943,Under investigation,2023-07-20 03:00:00,0,3,1
6,2,7,Tikrapara,21.258817014514086,81.61936726423808,Snatching,0,0,0.369,Reported,2023-07-26 06:00:00,0,4,0
6,6,4,Fafadih,21.23772721579565,81.66570495275374,Theft,0,1,0.28,Under investigation,2023-04-16 06:00:00,0,5,0
6,2,12,Shankar Nagar,21.24253840609725,81.64517137477867,Assault,0,0,0.157,Reported,2023-12-13 06:00:00,0,0,0
5,1,1,Mowa,21.278121661347843,81.64243548219774,Assault,1,0,0.645,Reported,2023-01-03 05:00:00,0,0,1
18,1,8,Amanaka,21.26810590647378,81.63427341944438,Snatching,0,0,0.323,Solved,2023-08-22 18:00:00,1,4,0
23,1,11,Tikrapara,21.2654653202782,81.61906968458936,Theft,1,0,0.882,Reported,2023-11-14 23:00:00,0,5,1
17,4,7,Ring Road No 1,21.26394113003421,81.64541112888297,Theft,0,0,0.185,Under investigation,2023-07-28 17:00:00,1,5,0
16,4,12,Fafadih,21.23186302436947,81.66023474038502,Vandalism,0,0,0.566,Reported,2023-12-08 16:00:00,0,6,1
6,4,3,Tikrapara,21.256783426058227,81.61878666164682,Burglary,0,0,0.476,Under investigation,2023-03-03 06:00:00,0,1,0
9,0,9,Jail Road,21.22808327083909,81.64041998342098,Theft,0,0,0.324,Under investigation,2023-09-11 09:00:00,1,5,0
6,6,8,Pandri,21.251886012039275,81.62577698256871,Burglary,0,1,0.176,Under investigation,2023-08-20 06:00:00,0,1,0
11,3,9,Shankar Nagar,21.241905192870068,81.64240949713104,Vehicle theft,0,0,0.32,Under investigation,2023-09-07 11:00:00,0,7,0
3,0,7,Pandri,21.256137197724627,81.63062687669118,Assault,1,0,0.621,Reported,2023-07-17 03:00:00,0,0,1
3,6,6,Telibandha,21.23625225928033,81.65169601903698,Theft,1,1,0.519,Under investigation,2023-06-18 03:00:00,0,5,1
2,5,6,Fafadih,21.23993019555729,81.66486682589036,Assault,1,1,0.975,Reported,2023-06-10 02:00:00,0,0,1
4,5,7,Shankar Nagar,21.245690106121742,81.64500236070192,Assault,1,1,0.716,Under investigation,2023-07-08 04:00:00,0,0,1
2,2,1,Amanaka,21.275759816165717,81.63930250717607,Harassment,1,0,0.922,Reported,2023-01-04 02:00:00,0,2,1
20,2,1,Mowa,21.28116704152447,81.64657456887836,Snatching,0,0,0.226,Closed,2023-01-25 20:00:00,0,4,0
10,1,6,Amanaka,21.265673395614943,81.62899093899064,Robbery,0,0,0.223,Under investigation,2023-06-06 10:00:00,0,3,0
0,6,4,Fafadih,21.233728394602576,81.66147472283859,Theft,1,1,0.68,Under investigation,2023-04-02 00:00:00,0,5,1
21,4,8,Amanaka,21.267824359785948,81.63830341067931,Theft,1,0,0.842,Reported,2023-08-11 21:00:00,0,5,1
15,3,6,Shankar Nagar,21.2360485456542,81.63996091097577,Robbery,0,0,0.338,Solved,2023-06-29 15:00:00,0,3,0
0,4,5,Katora Talab,21.234760177820487,81.62795479285961,Vehicle theft,1,0,0.544,Reported,2023-05-19 00:00:00,0,7,1
16,5,9,Jail Road,21.23577892402908,81.63466319492535,Theft,0,1,0.409,Under investigation,2023-09-09 16:00:00,0,5,0
15,1,7,GE Road,21.24884663977077,81.65253191903122,Burglary,0,0,0.428,Reported,2023-07-11 15:00:00,0,1,0
9,2,2,Fafadih,21.23568418137372,81.65676730121406,Burglary,0,0,0.149,Under investigation,2023-02-22 09:00:00,1,1,0
11,3,11,Ring Road No 1,21.266129956837045,81.65235913791463,Assault,0,0,0.487,Under investigation,2023-11-30 11:00:00,0,0,0
17,6,7,Tikrapara,21.269432142248448,81.62031576166427,Theft,0,1,0.536,Reported,2023-07-16 17:00:00,1,5,1
23,0,8,Devendra Nagar,21.245035032715727,81.61997399217152,Theft,1,0,0.934,Reported,2023-08-07 23:00:00,0,5,1
16,3,5,Amanaka,21.267023026532176,81.63169692361814,Vehicle theft,0,0,0.134,Solved,2023-05-04 16:00:00,0,7,0
4,4,9,Amanaka,21.27548439525565,81.63507187966007,Snatching,1,0,0.857,Closed,2023-09-29 04:00:00,0,4,1
19,3,1,Jail Road,21.2320609884959,81.64615699039993,Burglary,0,0,0.328,Reported,2023-01-12 19:00:00,1,1,0
8,0,7,Amanaka,21.26056614343117,81.64011549505881,Robbery,0,0,0.102,Reported,2023-07-17 08:00:00,1,3,0
21,3,7,Pandri,21.251621587647133,81.63134019348657,Theft,1,0,0.679,Solved,2023-07-13 21:00:00,0,5,1
19,3,11,Jail Road,21.22648638711301,81.63707950240621,Theft,0,0,0.142,Under investigation,2023-11-09 19:00:00,1,5,0
1,2,4,Tikrapara,21.26205538355925,81.62823839120134,Theft,1,0,0.746,Solved,2023-04-19 01:00:00,0,5,1
14,0,3,Tikrapara,21.26411325325126,81.62376209168568,Theft,0,0,0.203,Under investigation,2023-03-13 14:00:00,0,5,0
10,4,11,Devendra Nagar,21.244831994918957,81.62099918310166,Theft,0,0,0.516,Reported,2023-11-10 10:00:00,0,5,1
1,0,7,Jail Road,21.226676780193685,81.63814690510122,Robbery,1,0,0.524,Under investigation,2023-07-17 01:00:00,0,3,1
10,1,4,Fafadih,21.22488887026732,81.65830032262842,Harassment,0,0,0.182,Solved,2023-04-18 10:00:00,0,2,0
8,4,7,Jail Road,21.22755858737576,81.63939856730242,Burglary,0,0,0.126,Solved,2023-07-07 08:00:00,1,1,0
18,1,4,Fafadih,21.23362700043899,81.6626498034745,Vehicle theft,0,0,0.195,Under investigation,2023-04-18 18:00:00,1,7,0
6,6,2,Fafadih,21.23304029851023,81.65887422765462,Snatching,0,1,0.273,Under investigation,2023-02-19 06:00:00,0,4,0
4,3,6,Devendra Nagar,21.23774656542694,81.6210987655664,Robbery,1,0,0.817,Solved,2023-06-01 04:00:00,0,3,1
19,5,1,Ring Road No 1,21.25951019744925,81.65306426699311,Burglary,0,1,0.453,Reported,2023-01-14 19:00:00,1,1,0
22,4,1,Amanaka,21.273637149586776,81.63875428426824,Robbery,1,0,0.629,Under investigation,2023-01-06 22:00:00,0,3,1
9,1,7,Shankar Nagar,21.246527810944517,81.64156589705819,Theft,0,0,0.134,Under investigation,2023-07-18 09:00:00,1,5,0
6,1,12,Shankar Nagar,21.2414121777381,81.63911158898533,Vehicle theft,0,0,0.31,Solved,2023-12-26 06:00:00,0,7,0
22,2,3,Jail Road,21.223770004333595,81.64406741480204,Robbery,1,0,0.644,Solved,2023-03-22 22:00:00,0,3,1
1,5,1,Devendra Nagar,21.24490115584828,81.61841463882553,Robbery,1,1,0.77,Under investigation,2023-01-21 01:00:00,0,3,1
5,1,4,Jail Road,21.22649403449716,81.63663210617428,Theft,1,0,0.63,Under investigation,2023-04-04 05:00:00,0,5,1
19,2,11,Mowa,21.27907209794006,81.64656987140428,Theft,0,0,0.423,Under investigation,2023-11-08 19:00:00,1,5,0
11,5,6,GE Road,21.249808041801614,81.63988986594086,Harassment,0,1,0.381,Reported,2023-06-03 11:00:00,0,2,0
20,3,2,Fafadih,21.232343278659364,81.66057522439961,Vehicle theft,0,0,0.534,Under investigation,2023-02-02 20:00:00,0,7,1
19,4,5,GE Road,21.25030031907626,81.64639015533409,Vehicle theft,0,0,0.278,Under investigation,2023-05-19 19:00:00,1,7,0
16,5,3,Shankar Nagar,21.244369756322904,81.64236456446059,Harassment,0,1,0.505,Under investigation,2023-03-25 16:00:00,0,2,1
10,6,12,GE Road,21.25110067874349,81.65055056544577,Vandalism,0,1,0.201,Reported,2023-12-10 10:00:00,0,6,0
13,4,7,Mowa,21.27718066870741,81.6403536573212,Assault,0,0,0.327,Reported,2023-07-28 13:00:00,0,0,0
2,0,1,Ring Road No 1,21.268920493158344,81.65343742163887,Theft,1,0,0.814,Reported,2023-01-02 02:00:00,0,5,1
16,0,12,Jail Road,21.23310778424377,81.64500441834134,Vehicle theft,0,0,0.493,Under investigation,2023-12-25 16:00:00,0,7,0
5,0,5,Jail Road,21.2319037767225,81.64381355471654,Theft,1,0,0.644,Under investigation,2023-05-15 05:00:00,0,5,1
21,6,5,Fafadih,21.22678261935172,81.66201661548797,Burglary,1,1,0.666,Solved,2023-05-28 21:00:00,0,1,1
16,0,10,Amanaka,21.269269126152743,81.6417107363636,Vehicle theft,0,0,0.414,Under investigation,2023-10-16 16:00:00,0,7,0
17,3,4,Katora Talab,21.24041058212721,81.63197821923683,Snatching,0,0,0.281,Under investigation,2023-04-13 17:00:00,1,4,0
1,4,4,Amanaka,21.27149117663412,81.6356707253338,Vehicle theft,1,0,0.596,Under investigation,2023-04-21 01:00:00,0,7,1
5,4,6,Tikrapara,21.26191732573261,81.6146246301225,Harassment,1,0,0.676,Under investigation,2023-06-23 05:00:00,0,2,1
12,5,5,Jail Road,21.231240065860955,81.63918739460286,Vehicle theft,0,1,0.525,Closed,2023-05-27 12:00:00,0,7,1
23,5,9,Devendra Nagar,21.246729799056222,81.62050245933952,Assault,1,1,0.783,Solved,2023-09-30 23:00:00,0,0,1
15,3,5,Telibandha,21.236559747314416,81.65479536808147,Theft,0,0,0.279,Solved,2023-05-11 15:00:00,0,5,0
0,3,2,Devendra Nagar,21.24139380976664,81.61948898239584,Assault,1,0,0.832,Reported,2023-02-23 00:00:00,0,0,1
5,2,1,Tikrapara,21.25989367497114,81.61561243849926,Theft,1,0,0.551,Reported,2023-01-11 05:00:00,0,5,1
11,4,6,GE Road,21.24765988547095,81.64932030388483,Theft,0,0,0.148,Solved,2023-06-23 11:00:00,0,5,0
7,2,9,GE Road,21.245179736572386,81.64486815106034,Theft,0,0,0.177,Under investigation,2023-09-20 07:00:00,1,5,0
8,0,2,Amanaka,21.278216382331696,81.63683790023588,Vandalism,0,0,0.568,Under investigation,2023-02-20 08:00:00,1,6,1
4,5,11,Tikrapara,21.25711374659092,81.62037286031307,Robbery,1,1,1.0,Reported,2023-11-18 04:00:00,0,3,1
10,1,5,Amanaka,21.272269321907945,81.63897765768037,Robbery,0,0,0.337,Under investigation,2023-05-16 10:00:00,0,3,0
10,2,5,Pandri,21.250891375882173,81.63350599081109,Theft,0,0,0.409,Under investigation,2023-05-17 10:00:00,0,5,0
17,6,9,Mowa,21.27074621390047,81.6380747674781,Vehicle theft,0,1,0.116,Solved,2023-09-10 17:00:00,1,7,0
3,3,12,Shankar Nagar,21.244155485606942,81.64341853413123,Vehicle theft,1,0,0.881,Reported,2023-12-14 03:00:00,0,7,1
17,5,8,Telibandha,21.23525287084933,81.65113767996505,Robbery,0,1,0.198,Reported,2023-08-05 17:00:00,1,3,0
