date,time,hour,day_of_week,location,latitude,longitude,accident_type,severity,severity_encoded,vehicles_involved,casualties,road_type,weather,light_condition,speed_limit,road_condition
2023-12-16,23:00,23,5,Telibandha,21.237583450028566,81.64668281547715,Overturning,Minor,0,4,0,Rural,Rainy,Night,60,Wet
2023-03-25,02:00,2,5,Pandri,21.244025491708353,81.62665770546901,Overturning,Minor,0,3,1,Urban,Clear,Night,60,Good
2023-09-10,21:00,21,6,Devendra Nagar,21.245259029472503,81.62819736972251,Collision,Severe,2,4,3,Highway,Clear,Day,40,Damaged
2023-10-02,13:00,13,0,Mowa,21.280919401076698,81.64321525621412,Collision,Fatal,3,2,2,Highway,Rainy,Day,80,Good
2023-05-12,05:00,5,4,Devendra Nagar,21.244399641016095,81.62165050284824,Collision,Moderate,1,2,0,Highway,Clear,Night,80,Good
2023-06-23,06:00,6,4,Jail Road,21.234016942792525,81.64070221562228,Collision,Minor,0,3,0,Highway,Rainy,Day,80,Damaged
2023-12-07,10:00,10,3,Pandri,21.245092197924237,81.62757938105631,Skid,Minor,0,1,1,Rural,Clear,Day,60,Wet
2023-09-08,14:00,14,4,Devendra Nagar,21.243025351904684,81.62176120797247,Hit-and-run,Severe,2,3,3,Intersection,Clear,Day,100,Good
2023-10-14,20:00,20,5,Pandri,21.253088731980856,81.6292776653546,Overturning,Fatal,3,4,2,Rural,Rainy,Day,40,Good
2023-04-29,10:00,10,5,Katora Talab,21.236469403778987,81.63844041948398,Collision,Severe,2,4,1,Intersection,Clear,Day,60,Good
2023-08-15,07:00,7,1,GE Road,21.24911061673064,81.65449259857766,Pedestrian,Minor,0,1,0,Urban,Cloudy,Day,60,Good
2023-02-16,05:00,5,3,Shankar Nagar,21.241486077225886,81.64236759458984,Collision,Minor,0,4,0,Intersection,Clear,Night,40,Good
2023-11-02,01:00,1,3,GE Road,21.250356389213792,81.6492702574005,Collision,Minor,0,4,1,Highway,Clear,Night,40,Wet
2023-05-20,15:00,15,5,Jail Road,21.23113377598522,81.64140150572027,Overturning,Severe,2,1,3,Rural,Foggy,Day,80,Under repair
2023-10-18,13:00,13,2,Mowa,21.27664064800814,81.63893125596766,Pedestrian,Moderate,1,1,0,Rural,Foggy,Day,40,Good
2023-11-06,00:00,0,0,Jail Road,21.23730951537272,81.6386480469812,Collision,Moderate,1,2,2,Highway,Clear,Night,40,Under repair
2023-05-21,10:00,10,6,Shankar Nagar,21.245597637316017,81.63727707606843,Overturning,Moderate,1,4,1,Intersection,Rainy,Day,40,Wet
2023-03-08,08:00,8,2,Fafadih,21.232261161840285,81.66081840184805,Collision,Severe,2,4,0,Urban,Rainy,Day,40,Good
2023-06-19,02:00,2,0,Amanaka,21.271418445209783,81.62683263757702,Overturning,Moderate,1,1,0,Urban,Cloudy,Night,60,Wet
2023-12-27,11:00,11,2,Amanaka,21.270498421839235,81.6315507756339,Hit-and-run,Minor,0,2,1,Intersection,Cloudy,Day,60,Good
2023-03-18,01:00,1,5,Tikrapara,21.261073037133585,81.6155910124095,Hit-and-run,Moderate,1,2,2,Rural,Rainy,Night,100,Damaged
2023-12-29,16:00,16,4,Fafadih,21.230533551912224,81.66037911716882,Pedestrian,Fatal,3,2,1,Rural,Clear,Day,100,Damaged
2023-01-09,05:00,5,0,Jail Road,21.226643011591193,81.6386733966598,Hit-and-run,Moderate,1,2,2,Intersection,Rainy,Night,100,Good
2023-09-28,09:00,9,3,GE Road,21.247619872694372,81.6434004886449,Skid,Moderate,1,3,0,Intersection,Rainy,Day,60,Wet
2023-06-13,23:00,23,1,Tikrapara,21.26315387115729,81.61481185392154,Skid,Severe,2,2,1,Highway,Rainy,Night,100,Wet
2023-03-27,04:00,4,0,Devendra Nagar,21.245063957337177,81.62565867324449,Pedestrian,Moderate,1,2,1,Highway,Clear,Night,100,Wet
2023-02-23,13:00,13,3,Pandri,21.249555167692453,81.62712450230076,Collision,Minor,0,1,1,Urban,Clear,Day,40,Good
2023-04-11,08:00,8,1,Ring Road No 1,21.264078714266002,81.65455380146818,Pedestrian,Fatal,3,4,1,Intersection,Foggy,Day,60,Damaged
2023-10-12,13:00,13,3,Katora Talab,21.23319205420474,81.63404955650395,Skid,Minor,0,4,0,Rural,Clear,Day,80,Good
2023-03-02,23:00,23,3,Fafadih,21.2279025162151,81.66002039698894,Skid,Severe,2,2,2,Rural,Foggy,Night,60,Good
2023-08-28,10:00,10,0,Shankar Nagar,21.243602614053614,81.63953612607473,Skid,Moderate,1,3,1,Rural,Clear,Day,60,Damaged
2023-11-20,17:00,17,0,Shankar Nagar,21.242129024498524,81.63787531969508,Skid,Minor,0,4,0,Highway,Clear,Day,80,Good
2023-02-26,03:00,3,6,GE Road,21.251431235834144,81.65206708274664,Overturning,Moderate,1,2,1,Intersection,Cloudy,Night,80,Good
2023-09-14,14:00,14,3,GE Road,21.247908568390688,81.64703198470033,Pedestrian,Moderate,1,3,0,Intersection,Clear,Day,80,Damaged
2023-03-02,11:00,11,3,GE Road,21.252707638739363,81.65253627215796,Overturning,Minor,0,3,0,Rural,Clear,Day,80,Under repair
2023-02-08,16:00,16,2,Jail Road,21.225320430563375,81.63959364578776,Hit-and-run,Minor,0,2,0,Highway,Clear,Day,80,Under repair
2023-03-29,08:00,8,2,Katora Talab,21.237549392466956,81.63419383082811,Collision,Minor,0,1,0,Urban,Clear,Day,80,Good
2023-05-03,23:00,23,2,Amanaka,21.26256962379937,81.63650327002793,Overturning,Severe,2,2,2,Urban,Clear,Night,40,Under repair
2023-02-06,08:00,8,0,Jail Road,21.234358009053274,81.64044998525351,Overturning,Minor,0,4,0,Highway,Rainy,Day,100,Damaged
2023-11-17,13:00,13,4,GE Road,21.248106681840117,81.6473606182609,Skid,Moderate,1,1,0,Highway,Clear,Day,100,Wet
2023-11-18,01:00,1,5,Ring Road No 1,21.26870973920297,81.65392988762258,Collision,Minor,0,3,1,Highway,Clear,Night,80,Wet
2023-02-25,05:00,5,5,Shankar Nagar,21.245420079855155,81.6431692377506,Pedestrian,Minor,0,1,1,Highway,Clear,Night,40,Under repair
2023-04-06,15:00,15,3,Pandri,21.249416588663426,81.62899828645803,Hit-and-run,Fatal,3,4,4,Urban,Clear,Day,60,Good
2023-01-31,17:00,17,1,Telibandha,21.238666231792966,81.65174872294818,Hit-and-run,Minor,0,3,0,Rural,Clear,Day,40,Damaged
2023-07-22,12:00,12,5,GE Road,21.2557267566828,81.65225501441037,Overturning,Severe,2,3,1,Highway,Rainy,Day,40,Wet
2023-02-13,08:00,8,0,Amanaka,21.265741846932613,81.63567198490671,Overturning,Minor,0,1,1,Urban,Foggy,Day,100,Good
2023-10-01,13:00,13,6,Ring Road No 1,21.265610290035504,81.65305658099044,Hit-and-run,Fatal,3,3,1,Rural,Clear,Day,80,Good
2023-12-04,15:00,15,0,Fafadih,21.23121229870984,81.6699423276473,Overturning,Minor,0,2,0,Highway,Rainy,Day,80,Good
2023-10-22,15:00,15,6,Mowa,21.275068746313007,81.63905043466,Hit-and-run,Severe,2,2,3,Intersection,Rainy,Day,100,Good
2023-11-17,03:00,3,4,Amanaka,21.270700785243783,81.6413504091649,Hit-and-run,Severe,2,3,0,Rural,Clear,Night,40,Damaged
2023-10-19,01:00,1,3,Tikrapara,21.257591415447887,81.61790251490307,Overturning,Moderate,1,1,0,Rural,Cloudy,Night,100,Wet
2023-08-06,22:00,22,6,Devendra Nagar,21.248831881019047,81.62334641353534,Pedestrian,Severe,2,3,2,Intersection,Clear,Night,100,Good
2023-06-17,02:00,2,5,Mowa,21.277896188436408,81.64399689870567,Collision,Minor,0,3,0,Intersection,Rainy,Night,60,Wet
2023-06-09,20:00,20,4,Devendra Nagar,21.246417553970687,81.62649131635692,Collision,Minor,0,2,1,Rural,Clear,Day,80,Good
2023-11-07,20:00,20,1,Fafadih,21.236974406667198,81.66212100918001,Pedestrian,Moderate,1,3,0,Rural,Clear,Day,60,Good
2023-10-30,10:00,10,0,Mowa,21.279775198176136,81.64294233294686,Overturning,Moderate,1,3,1,Intersection,Clear,Day,60,Good
2023-10-14,23:00,23,5,Amanaka,21.271467391669947,81.63516551191361,Pedestrian,Moderate,1,3,0,Urban,Rainy,Night,60,Under repair
2023-10-10,09:00,9,1,Ring Road No 1,21.263398174553036,81.65478988136249,Collision,Severe,2,1,3,Rural,Clear,Day,60,Damaged
2023-10-29,20:00,20,6,Mowa,21.283448348541064,81.6377773411661,Hit-and-run,Moderate,1,4,1,Urban,Foggy,Day,60,Damaged
2023-09-12,08:00,8,1,Devendra Nagar,21.24563006345522,81.62133391669967,Hit-and-run,Severe,2,1,1,Highway,Rainy,Day,60,Wet
2023-05-18,01:00,1,3,Fafadih,21.23216708560054,81.6624075486292,Skid,Minor,0,1,1,Highway,Clear,Night,60,Good
2023-10-16,23:00,23,0,Devendra Nagar,21.247608315114626,81.62306362066917,Pedestrian,Fatal,3,3,0,Urban,Clear,Night,100,Good
2023-06-20,05:00,5,1,Tikrapara,21.254359978995833,81.61580486325828,Skid,Moderate,1,2,2,Intersection,Rainy,Night,60,Good
2023-09-19,11:00,11,1,Pandri,21.2540894990106,81.62137872073389,Pedestrian,Minor,0,2,1,Intersection,Clear,Day,40,Good
2023-09-13,16:00,16,2,GE Road,21.254762281455047,81.65046368997193,Hit-and-run,Moderate,1,2,2,Intersection,Clear,Day,80,Under repair
2023-12-04,06:00,6,0,Tikrapara,21.26404852824459,81.61810429243936,Collision,Minor,0,1,1,Highway,Rainy,Day,100,Good
2023-04-14,23:00,23,4,Tikrapara,21.253915783727933,81.61999108792452,Hit-and-run,Moderate,1,3,1,Rural,Foggy,Night,40,Wet
2023-05-08,13:00,13,0,Amanaka,21.273823959372116,81.63777416541654,Collision,Fatal,3,2,0,Urban,Rainy,Day,40,Good
2023-10-04,01:00,1,2,Katora Talab,21.234711925549536,81.63476028322638,Collision,Severe,2,1,1,Intersection,Rainy,Night,100,Wet
2023-07-31,15:00,15,0,Ring Road No 1,21.261801491193662,81.64874220060743,Overturning,Severe,2,2,3,Rural,Cloudy,Day,100,Good
2023-06-28,09:00,9,2,Fafadih,21.23596616571354,81.6576074030662,Pedestrian,Severe,2,3,0,Rural,Clear,Day,80,Good
2023-02-26,03:00,3,6,Ring Road No 1,21.260718550708255,81.64788792309959,Hit-and-run,Minor,0,2,1,Rural,Foggy,Night,60,Good
2023-10-03,19:00,19,1,Pandri,21.246929257430104,81.63003924287553,Pedestrian,Minor,0,2,0,Urban,Rainy,Day,80,Wet
2023-06-09,20:00,20,4,Shankar Nagar,21.246984509145445,81.64154536973126,Collision,Minor,0,4,0,Urban,Clear,Day,100,Good
2023-03-12,13:00,13,6,Devendra Nagar,21.241082756598306,81.62591983361924,Collision,Moderate,1,3,2,Highway,Clear,Day,80,Good
2023-09-02,13:00,13,5,Katora Talab,21.241757105262103,81.63256127302756,Overturning,Fatal,3,3,4,Urban,Clear,Day,80,Wet
2023-12-23,18:00,18,5,Mowa,21.27746433719985,81.64384698189025,Hit-and-run,Minor,0,3,0,Intersection,Clear,Day,80,Damaged
2023-06-26,05:00,5,0,Telibandha,21.243765621243355,81.64854049756282,Skid,Minor,0,2,1,Intersection,Rainy,Night,40,Good
2023-04-03,17:00,17,0,Katora Talab,21.232702650657004,81.63639425581881,Hit-and-run,Fatal,3,1,4,Rural,Clear,Day,80,Under repair
2023-12-14,23:00,23,3,Devendra Nagar,21.247997204219427,81.6234183943513,Hit-and-run,Severe,2,3,2,Intersection,Clear,Night,80,Under repair
2023-05-09,10:00,10,1,Devendra Nagar,21.243925600221026,81.62638313619298,Collision,Severe,2,1,2,Highway,Clear,Day,80,Good
2023-09-27,12:00,12,2,Telibandha,21.240484108013646,81.64779469344928,Skid,Minor,0,4,0,Highway,Clear,Day,100,Damaged
2023-12-18,11:00,11,0,GE Road,21.25134728419392,81.64484487740393,Skid,Minor,0,4,1,Highway,Rainy,Day,60,Good
2023-11-25,10:00,10,5,Telibandha,21.240957671369316,81.64931329929185,Hit-and-run,Severe,2,1,0,Rural,Foggy,Day,40,Good
2023-01-17,20:00,20,1,Ring Road No 1,21.262092867502847,81.65110137654455,Overturning,Minor,0,1,0,Highway,Clear,Day,100,Good
2023-06-02,00:00,0,4,Jail Road,21.229920923097993,81.6427847901847,Pedestrian,Severe,2,1,3,Rural,Rainy,Night,80,Good
2023-09-07,11:00,11,3,Telibandha,21.240673271593977,81.64963077216362,Hit-and-run,Minor,0,2,0,Intersection,Clear,Day,100,Wet
2023-06-23,02:00,2,4,Katora Talab,21.238991004449154,81.63570221176107,Overturning,Severe,2,4,0,Rural,Cloudy,Night,80,Wet
2023-12-21,10:00,10,3,Shankar Nagar,21.242220201091143,81.64172584552529,Overturning,Moderate,1,1,1,Intersection,Clear,Day,80,Under repair
2023-05-03,13:00,13,2,GE Road,21.250755331333472,81.65041578402952,Skid,Minor,0,4,0,Rural,Cloudy,Day,80,Good
2023-07-31,03:00,3,0,Ring Road No 1,21.262298932155836,81.65002877244073,Pedestrian,Minor,0,3,1,Urban,Foggy,Night,60,Good
2023-02-08,16:00,16,2,Fafadih,21.239006271928304,81.66401920644523,Overturning,Minor,0,1,0,Highway,Clear,Day,60,Wet
2023-10-18,14:00,14,2,Devendra Nagar,21.243318198006722,81.62511282298183,Hit-and-run,Severe,2,4,3,Rural,Foggy,Day,100,Wet
2023-11-18,19:00,19,5,Katora Talab,21.237055050196965,81.63567465352578,Collision,Severe,2,4,1,Highway,Cloudy,Day,80,Good
2023-01-27,08:00,8,4,Jail Road,21.230212023973696,81.64366892793646,Pedestrian,Moderate,1,2,1,Highway,Rainy,Day,100,Good
2023-01-03,03:00,3,1,Tikrapara,21.261136861033954,81.61851373390536,Hit-and-run,Moderate,1,1,0,Intersection,Clear,Night,100,Good
2023-11-07,02:00,2,1,Shankar Nagar,21.24662657173095,81.64279985512326,Overturning,Moderate,1,2,1,Highway,Rainy,Night,80,Wet
2023-07-18,00:00,0,1,Tikrapara,21.260464435737987,81.61964206780746,Pedestrian,Minor,0,1,1,Urban,Clear,Night,80,Good
2023-11-25,23:00,23,5,Tikrapara,21.2598191729299,81.61872768097899,Overturning,Moderate,1,3,0,Rural,Clear,Night,40,Good
2023-01-05,22:00,22,3,Amanaka,21.268239916233714,81.63274649834113,Pedestrian,Fatal,3,4,1,Highway,Clear,Night,60,Damaged
2023-09-26,05:00,5,1,Amanaka,21.267004288840553,81.63082405013961,Overturning,Moderate,1,2,2,Rural,Rainy,Night,60,Wet
2023-06-24,13:00,13,5,Tikrapara,21.257460847915848,81.6181771988966,Pedestrian,Moderate,1,1,0,Highway,Clear,Day,100,Damaged
2023-12-27,23:00,23,2,Jail Road,21.230109352747338,81.63928611031056,Overturning,Moderate,1,2,2,Highway,Rainy,Night,80,Good
2023-12-07,02:00,2,3,Jail Road,21.22273288952962,81.64482375907329,Pedestrian,Minor,0,1,1,Intersection,Rainy,Night,40,Damaged
2023-11-23,12:00,12,3,Tikrapara,21.26335944036867,81.62003727955366,Overturning,Minor,0,3,1,Urban,Clear,Day,40,Wet
2023-08-01,10:00,10,1,Telibandha,21.24462247201766,81.64716790764754,Collision,Moderate,1,2,0,Intersection,Rainy,Day,40,Wet
2023-12-06,19:00,19,2,Jail Road,21.23546287536188,81.63720435776975,Pedestrian,Fatal,3,4,2,Urban,Clear,Day,80,Wet
2023-12-08,23:00,23,4,Tikrapara,21.260816213775875,81.6148784880246,Skid,Moderate,1,3,0,Intersection,Clear,Night,80,Good
2023-10-26,20:00,20,3,Shankar Nagar,21.243544082286633,81.643258499494,Pedestrian,Severe,2,1,2,Intersection,Clear,Day,100,Wet
2023-02-04,04:00,4,5,Mowa,21.278435929006598,81.64444163233227,Skid,Severe,2,2,2,Rural,Rainy,Night,40,Wet
2023-11-03,16:00,16,4,Telibandha,21.23919704334846,81.64853275581486,Pedestrian,Moderate,1,1,2,Highway,Clear,Day,80,Good
2023-08-28,14:00,14,0,GE Road,21.249499560046594,81.65133274131784,Collision,Minor,0,2,1,Highway,Clear,Day,100,Damaged
2023-07-31,11:00,11,0,Mowa,21.27693877391058,81.64504620891147,Pedestrian,Fatal,3,2,3,Highway,Clear,Day,80,Wet
2023-10-16,21:00,21,0,Ring Road No 1,21.267068135378498,81.64619385841297,Pedestrian,Severe,2,3,2,Rural,Foggy,Day,60,Wet
2023-05-12,23:00,23,4,Ring Road No 1,21.266798779161903,81.65738126809534,Overturning,Moderate,1,4,0,Urban,Foggy,Night,100,Good
2023-01-09,23:00,23,0,Fafadih,21.233856011283606,81.66299725255588,Hit-and-run,Fatal,3,1,2,Rural,Cloudy,Night,100,Wet
2023-04-07,04:00,4,4,Katora Talab,21.239811015973107,81.63367355305446,Skid,Severe,2,2,3,Highway,Cloudy,Night,40,Wet
2023-02-14,04:00,4,1,Amanaka,21.27054684067061,81.63105740141114,Overturning,Minor,0,1,1,Urban,Rainy,Night,100,Good
2023-09-10,17:00,17,6,Katora Talab,21.23711590508559,81.63599433598694,Pedestrian,Fatal,3,1,1,Highway,Clear,Day,60,Under repair
2023-04-20,17:00,17,3,Ring Road No 1,21.26494848906878,81.6543962741708,Collision,Minor,0,2,0,Intersection,Cloudy,Day,100,Damaged
2023-04-23,14:00,14,6,Devendra Nagar,21.243275593465594,81.62180217972998,Overturning,Minor,0,2,1,Rural,Clear,Day,60,Under repair
2023-07-05,13:00,13,2,Devendra Nagar,21.251286522037972,81.62294901487871,Collision,Moderate,1,1,1,Intersection,Clear,Day,80,Good
2023-04-10,18:00,18,0,Amanaka,21.270600101361936,81.63479896987484,Skid,Moderate,1,3,1,Intersection,Clear,Day,60,Wet
2023-07-20,08:00,8,3,Shankar Nagar,21.241034957521087,81.64697058763268,Skid,Minor,0,3,1,Intersection,Rainy,Day,60,Wet
2023-07-01,16:00,16,5,Pandri,21.249816895764237,81.62621814342887,Collision,Moderate,1,1,0,Rural,Cloudy,Day,60,Under repair
2023-10-29,05:00,5,6,Telibandha,21.237547779168093,81.64409488199482,Pedestrian,Fatal,3,3,2,Intersection,Clear,Night,40,Wet
2023-06-17,16:00,16,5,GE Road,21.249246137605052,81.64599561420644,Collision,Minor,0,3,1,Highway,Clear,Day,80,Wet
2023-01-07,01:00,1,5,Mowa,21.28075228589278,81.64027975728132,Collision,Fatal,3,1,3,Urban,Clear,Night,80,Good
2023-12-30,07:00,7,5,Mowa,21.281563411806736,81.64649545197922,Skid,Severe,2,2,3,Urban,Rainy,Day,40,Wet
2023-02-23,06:00,6,3,Amanaka,21.27234352600886,81.63435383513342,Hit-and-run,Moderate,1,4,1,Highway,Clear,Day,60,Good
2023-01-07,11:00,11,5,Tikrapara,21.260523343490117,81.61412504517958,Hit-and-run,Fatal,3,3,1,Rural,Clear,Day,40,Good
2023-12-02,01:00,1,5,GE Road,21.25079866188244,81.6463186845958,Skid,Moderate,1,1,2,Rural,Clear,Night,60,Wet
2023-02-02,05:00,5,3,Amanaka,21.27208297914345,81.64271825716774,Hit-and-run,Moderate,1,1,2,Urban,Clear,Night,60,Good
2023-12-30,14:00,14,5,Katora Talab,21.23819946490792,81.62852657955314,Overturning,Fatal,3,4,0,Intersection,Rainy,Day,60,Damaged
2023-10-23,10:00,10,0,Katora Talab,21.235616309421257,81.63486747277612,Pedestrian,Severe,2,3,0,Urban,Foggy,Day,100,Wet
2023-08-25,09:00,9,4,Katora Talab,21.23696207227578,81.63230756062318,Pedestrian,Moderate,1,1,2,Highway,Clear,Day,60,Good
2023-12-20,18:00,18,2,Telibandha,21.23963587522791,81.64637249748924,Overturning,Severe,2,1,1,Intersection,Rainy,Day,100,Good
2023-01-03,15:00,15,1,Telibandha,21.236065273831947,81.65203739292481,Hit-and-run,Fatal,3,1,4,Rural,Clear,Day,40,Good
2023-02-09,15:00,15,3,Shankar Nagar,21.240453010307363,81.64371463481648,Overturning,Minor,0,4,1,Intersection,Clear,Day,100,Good
2023-12-27,21:00,21,2,Telibandha,21.234791608676034,81.65539447765137,Collision,Severe,2,2,0,Urban,Rainy,Day,100,Good
2023-05-19,01:00,1,4,Mowa,21.27657719023279,81.6416290002846,Pedestrian,Severe,2,2,0,Urban,Clear,Night,100,Good
2023-09-08,16:00,16,4,Mowa,21.27989183978327,81.6406039501425,Pedestrian,Moderate,1,3,2,Intersection,Clear,Day,60,Good
2023-08-27,02:00,2,6,Fafadih,21.233530217883214,81.66292607017355,Hit-and-run,Moderate,1,4,1,Rural,Clear,Night,80,Good
2023-06-08,10:00,10,3,Ring Road No 1,21.266281839697513,81.65357449230792,Pedestrian,Minor,0,3,1,Rural,Clear,Day,80,Wet
2023-09-30,04:00,4,5,Katora Talab,21.23618456860859,81.63406010467787,Overturning,Moderate,1,1,2,Highway,Cloudy,Night,80,Under repair
2023-02-27,10:00,10,0,Shankar Nagar,21.250547325674077,81.64494966720474,Pedestrian,Moderate,1,2,2,Rural,Rainy,Day,40,Good
2023-05-27,23:00,23,5,Devendra Nagar,21.24283452903104,81.6236999644913,Skid,Fatal,3,1,3,Highway,Clear,Night,60,Wet
2023-02-04,18:00,18,5,Tikrapara,21.259094570583667,81.61829399729824,Collision,Moderate,1,2,1,Rural,Clear,Day,100,Good
